id;name;urk_mark;inter_mark;code_soei
3101;Мільярд штук за рік;млрд.шт/р.;—;561
3102;Тисяча відвідувань;тис.відв;—;—
3103;Пост;пост;—;955
3104;Напрямок;напр;—;956
3105;Кусок;куск;—;687
3106;Тисяча кусків;тис.куск;—;688
3107;Мільйон кусків;млн.куск;—;689
3108;Тисяча умовних кусків;тис.умов.куск;—;690
3109;Мільйон умовних кусків;млн.умов.куск;—;679
3110;Тисяча тонн одноразового зберігання;тис.т однораз. збер;—;139
3111;Кілограм на тонну;кг/т;kg/t;1220
3112;Тисяча кілограм-сила-метр;тис.кгс.м;—;253
3113;Мільйон кілограм-сила-метр;млн.кгс.м;—;254
3114;Трильйон штук;трлн.шт;—;1884
3115;*Міцність спирту за об’ємом;міцн.спирт. об’єм;—;1887
3116;*Галон спирту встановленої міцності;гал.спирт.вст. міцн;—;1890
3117;Вид;вид;—;1139
3118;*Частина;част;—;1211
3119;Фронт;фронт;—;1146
3120;Година звучання;год.зв;—;1099
3121;Відділення;відд;—;942
32;МЕХАНІКА. ЧАСТИНА 2;;;
3201;Децитекс;децитекс;dtex;—
3202;Сантиньютон на текс;сН/текс;cN/tex;—
3203;Кубічний метр на кілограм-секунда у квадраті;м3/кг·с2;m3/kg·s2;—
3204;Торр (= 1/760 атм = 133,3224 Па);Торр;Torr;—
